,city,popu_string
0,Краснодар,899541.0
1,Екатеринбург,1468833.0
2,Новосибирск,1612833.0
3,Ростов-на-Дону,1130305.0
4,Нижний Новгород,1259013.0
5,Челябинск,1202371.0
6,Пермь,1051583.0
7,Казань,1243500.0
8,Самара,1163399.0
9,Омск,1172070.0
10,Уфа,1120547.0
11,Красноярск,1090811.0
12,Воронеж,1058547.0
13,Волгоград,1013533.0
14,Саратов,844858.0
15,Тюмень,768358.0
16,Калининград,475056.0
17,Барнаул,632372.0
18,Ярославль,608722.0
19,Иркутск,623869.0
20,Оренбург,564443.0
21,Сочи,424281.0
22,Ижевск,648213.0
23,Тольятти,707408.0
24,Кемерово,558973.0
25,Белгород,391554.0
26,Тула,482873.0
27,Ставрополь,433931.0
28,Набережные Челны,529797.0
29,Новокузнецк,552445.0
30,Владимир,357024.0
31,Сургут,360590.0
32,Магнитогорск,418241.0
33,Нижний Тагил,353950.0
34,Новороссийск,273278.0
35,Таганрог,250287.0
36,Стерлитамак,280233.0
37,Волжский,326055.0
38,Дзержинск,231797.0
39,Энгельс,
40,Бийск,201914.0
41,Ангарск,226374.0
42,Анапа,75865.0
43,Братск,231602.0
44,Нижневартовск,274575.0
45,Пятигорск,145885.0
46,Старый Оскол,223360.0
47,Нижнекамск,237250.0
48,Балаково,191260.0
49,Шахты,235492.0
50,Альметьевск,154262.0
51,Рыбинск,190429.0
52,Волгодонск,171471.0
53,Сызрань,173260.0
54,Новочеркасск,168766.0
55,Березники,145115.0
56,Миасс,151856.0
57,Каменск-Уральский,168997.0
58,Ачинск,105264.0
59,Армавир,190709.0
60,Нефтекамск,126805.0
61,Ковров,138552.0
62,Новомосковск,125647.0
63,Златоуст,167978.0
64,Геленджик,76830.0
65,Муром,109809.0
66,Норильск,178018.0
67,Арзамас,104547.0
68,Первоуральск,123655.0
69,Салават,153181.0
70,Невинномысск,117446.0
71,Ханты-Мансийск,
72,Рубцовск,144128.0
73,Бердск,103290.0
74,Батайск,124705.0
75,Ейск,83665.0
76,Соликамск,94628.0
77,Камышин,111775.0
78,Нефтеюганск,126157.0
79,Славянск-на-Кубани,66285.0
80,Прокопьевск,196406.0
81,Бузулук,86316.0
82,Октябрьский,113929.0
83,Кропоткин,
84,Канск,90231.0
